journalID,editorID1,editorID2,editorID3,editorID4
3e0f5847-034a-4c20-8bed-9fbec8e0cb87,UwHSmaVN9T,koLLBLF4Kh,RE6zRR2HAD,muTx7C3aQQ
924b5177-20b5-464c-84b2-0f813c7a83b9,LhT1sOxVxr,MmOgD1SMgE,TLgcHMTKEb,JSGHuc9MLB
6f6d7b8f-57c7-49a4-b01b-ed33ed25b3f2,MmOgD1SMgE,qc8esXYwNM,LhT1sOxVxr,QzlzGOiCMF
3a9f67ab-f61c-45aa-a187-c08d4035728b,sf1zujlMLk,bJWe09CpXg,IAAHNBJQ8S,Kpdi4o1VIk
ba0535ba-d87c-4eb2-8597-9649a54eda9d,muTx7C3aQQ,lUAHVNGaRO,sf1zujlMLk,a8lX8EcDg7
4d7bc938-a483-4c5d-bedb-a7722c5c8165,f3kNmwwyOf,TLgcHMTKEb,JSGHuc9MLB,a8lX8EcDg7
c4906074-ce3f-48b7-bc22-2df39bb3e948,Hji11I565l,bJWe09CpXg,Kpdi4o1VIk,MmOgD1SMgE
30aa77a0-fb15-4dd9-8efa-9dbfa3cf57e1,muTx7C3aQQ,f3kNmwwyOf,UwHSmaVN9T,bJWe09CpXg
ddee628a-b322-4999-9904-2cef31ca23d7,bJWe09CpXg,lUAHVNGaRO,TLgcHMTKEb,Hji11I565l
5385d627-f38f-4f07-a1fb-840f1cf08c88,a8lX8EcDg7,QzlzGOiCMF,koLLBLF4Kh,RE6zRR2HAD
40aaba87-5e4a-4532-b5be-bd59a5ba1611,MmOgD1SMgE,lUAHVNGaRO,koLLBLF4Kh,Kpdi4o1VIk
ddce71bd-e266-4f12-bd75-d0a9b327c12a,QzlzGOiCMF,a8lX8EcDg7,MmOgD1SMgE,RE6zRR2HAD
7a2b9da8-de5a-48d9-b77b-781955a16084,QzlzGOiCMF,IwvKaPs7nx,MmOgD1SMgE,Kpdi4o1VIk
9ecf3c50-f992-4389-96c0-a4bafd46c48b,Kpdi4o1VIk,f3kNmwwyOf,TLgcHMTKEb,JSGHuc9MLB
e442512f-e7e8-4ad3-ada8-d3cd1b2c86c8,a8lX8EcDg7,Kpdi4o1VIk,MmOgD1SMgE,bJWe09CpXg
1d52ca9d-7ba3-428b-870d-0370c28589f3,sf1zujlMLk,VkazC7swZQ,QzlzGOiCMF,a8lX8EcDg7
9251bb39-b6bf-4ab9-9ff7-b61db0a3c340,IwvKaPs7nx,Hji11I565l,UwHSmaVN9T,bJWe09CpXg
3b2c751d-4ed2-4da6-be71-4c19769543bf,f3kNmwwyOf,VkazC7swZQ,IAAHNBJQ8S,bJWe09CpXg
10360c14-66ed-4973-bdc6-338c7499845e,qc8esXYwNM,a8lX8EcDg7,IAAHNBJQ8S,Hji11I565l
90f50ae1-d87f-4189-b415-849e96dd96f1,Kpdi4o1VIk,VkazC7swZQ,muTx7C3aQQ,UwHSmaVN9T
47a190d9-bfa4-4158-852e-b9428312a19c,VkazC7swZQ,a8lX8EcDg7,IwvKaPs7nx,JSGHuc9MLB
237c9ae0-2f26-4eca-a083-28778d813825,RE6zRR2HAD,muTx7C3aQQ,koLLBLF4Kh,sf1zujlMLk
98b33b54-deeb-4e36-9d52-02c86fbfd510,a8lX8EcDg7,LhT1sOxVxr,muTx7C3aQQ,Hji11I565l
76bda6dd-359d-4a2f-aea7-4e7dab39926c,IAAHNBJQ8S,a8lX8EcDg7,IwvKaPs7nx,qc8esXYwNM
9f12bb35-cade-4b75-b689-860823fbf2cb,QzlzGOiCMF,a8lX8EcDg7,RE6zRR2HAD,MmOgD1SMgE
26c4ed67-b7d5-4a46-8317-87decb51a69c,VkazC7swZQ,bJWe09CpXg,lUAHVNGaRO,RE6zRR2HAD
28927fa0-8dca-4082-a7d0-abd989c8ef12,Hji11I565l,QzlzGOiCMF,sf1zujlMLk,TLgcHMTKEb
75a40e9a-d458-4cb2-8d3a-ad0f3c60134c,qc8esXYwNM,bJWe09CpXg,TLgcHMTKEb,RE6zRR2HAD
1f978602-0f0f-4e8b-a8f0-423b4fe882f4,LhT1sOxVxr,f3kNmwwyOf,Kpdi4o1VIk,RE6zRR2HAD
27a6e7c4-31cf-47d3-87f1-3163dec68ab5,UwHSmaVN9T,RE6zRR2HAD,Hji11I565l,Kpdi4o1VIk
4a3eb43b-e335-492f-bb9c-1413cca299d4,MmOgD1SMgE,koLLBLF4Kh,lUAHVNGaRO,QzlzGOiCMF
2247e234-68d6-483d-9dd3-a9b9ed8d8773,sf1zujlMLk,IAAHNBJQ8S,koLLBLF4Kh,JSGHuc9MLB
41bfda96-f67a-4623-976c-d573aa55dfd4,lUAHVNGaRO,IAAHNBJQ8S,RE6zRR2HAD,f3kNmwwyOf
af9217e1-baa5-48b2-af0f-94eeaef5070f,LhT1sOxVxr,bJWe09CpXg,sf1zujlMLk,IwvKaPs7nx
7b328dcc-4ced-46c5-afe5-d4d091163176,UwHSmaVN9T,MmOgD1SMgE,muTx7C3aQQ,bJWe09CpXg
a78f2c18-4d1d-4790-93a0-52aff92de25f,RE6zRR2HAD,muTx7C3aQQ,Kpdi4o1VIk,IwvKaPs7nx
cf014da0-4fc0-4d80-8ba6-5077f19f4ff9,LhT1sOxVxr,QzlzGOiCMF,lUAHVNGaRO,TLgcHMTKEb
e835b325-1be9-40c8-9afb-f4f6afeaa028,Kpdi4o1VIk,koLLBLF4Kh,qc8esXYwNM,muTx7C3aQQ
f48a2213-32cb-4fb4-908d-7c5b231196e9,RE6zRR2HAD,TLgcHMTKEb,bJWe09CpXg,a8lX8EcDg7
c494f143-afa1-4343-9967-bd08727d8305,a8lX8EcDg7,Hji11I565l,UwHSmaVN9T,qc8esXYwNM
9210d210-bca6-40ed-a5fe-580255c0b0e6,qc8esXYwNM,lUAHVNGaRO,muTx7C3aQQ,IAAHNBJQ8S
f83c0eba-cf5a-4172-ae40-b5b5e49ae1c1,UwHSmaVN9T,QzlzGOiCMF,muTx7C3aQQ,bJWe09CpXg
8f2e5f4f-47a2-4795-a8c3-949271aa9aa6,VkazC7swZQ,lUAHVNGaRO,IwvKaPs7nx,Kpdi4o1VIk
c55d7796-a7a8-4ecc-8b05-b170c92c86c6,koLLBLF4Kh,JSGHuc9MLB,a8lX8EcDg7,f3kNmwwyOf
cc594ac8-f8e4-40fb-abce-cac6f2bcb44b,IwvKaPs7nx,QzlzGOiCMF,Kpdi4o1VIk,JSGHuc9MLB
cd5f554f-e368-459a-b830-ceea0d8191fa,muTx7C3aQQ,MmOgD1SMgE,IAAHNBJQ8S,koLLBLF4Kh
6b4ac8b4-2a1a-40f5-807d-f3cffd6e0b1b,IAAHNBJQ8S,qc8esXYwNM,LhT1sOxVxr,koLLBLF4Kh
3dbb0e3e-42e8-455a-81f4-6bec5ead31b8,sf1zujlMLk,Hji11I565l,muTx7C3aQQ,MmOgD1SMgE
9a3d9aca-5a67-4344-92e0-77ce2d11379c,VkazC7swZQ,IAAHNBJQ8S,UwHSmaVN9T,muTx7C3aQQ
